Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
12/13/2022 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Alki Beach Sunset Run,S22AU014,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,Alki Beach,Alki / Admiral,1,"Southwest, Traffic",Fizz Events,1050
07/21/2021 12:00:00 AM,In Process,Special Event,Commercial,,Capitol Hill Block Party,S22JY002,07/22/2022 12:00:00 AM,07/24/2022 12:00:00 AM,Cal Anderson Park,Capitol Hill,3,"East, Operations",Independent Event Solutions,27900
01/07/2022 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Rivkin Summer Run,S22JY026,07/17/2022 12:00:00 AM,07/17/2022 12:00:00 AM,Seward Park,Seward Park,2,South,Rivkin Center,1350
01/10/2022 12:00:00 AM,In Process,Special Event,Athletic,Water,Fat Salmon Open Water Swim,S22JY028,07/16/2022 12:00:00 AM,07/16/2022 12:00:00 AM,Madison Park,Madison Park,3,"East, Harbor",Orca Swim Team,450
11/04/2021 12:00:00 AM,In Process,Special Event,Athletic,Cycling,Seattle to Portland Bicycle Classic,S22JY006,07/16/2022 12:00:00 AM,07/16/2022 12:00:00 AM,,"Columbia City, Madison Park, Madrona / Leschi, Montlake / Portage Bay, Mt. Baker / North Rainier, Rainier Beach, Seward Park, University District","2, 3, 4","East, North, South, Traffic",Cascade Bicycle Club,6100
01/06/2022 12:00:00 AM,In Process,Special Event,Commercial,,May Night Market,S22MY025,05/27/2022 12:00:00 AM,05/28/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
12/02/2021 12:00:00 AM,On Hold,Special Event,Community,,Seattle Norwegian 17th of May Parade,S22MY008,05/17/2022 12:00:00 AM,05/17/2022 12:00:00 AM,,Ballard,6,North,Seattle Norwegian 17th of May Committee,5050
12/16/2021 12:00:00 AM,In Process,Special Event,Commercial,,Seattle Opera's Big Opera Party,S22MY016,05/13/2022 12:00:00 AM,05/13/2022 12:00:00 AM,,Queen Anne,7,West,Seattle Opera,450
12/09/2021 12:00:00 AM,In Process,Special Event,Community,,Madrona Mayfair,S22MY009,05/07/2022 12:00:00 AM,05/07/2022 12:00:00 AM,OTHER,Madrona / Leschi,3,East,Madrona Neighborhood Association,375
12/13/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Fiesta 5K Ole,S22AP015,04/30/2022 12:00:00 AM,04/30/2022 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,Fizz Events,3000
11/30/2021 12:00:00 AM,In Process,Special Event,Community,,Lunar New Year Celebration,S22FE007,04/30/2022 12:00:00 AM,04/30/2022 12:00:00 AM,Hing Hay Park,International District,7,West,CIDBIA,5150
08/03/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Walk / Run MS - Seattle,S22AP003,04/24/2022 12:00:00 AM,04/24/2022 12:00:00 AM,Gas Works Park,"Fremont, University District, Wallingford",4,North,National MS Society,4000
01/07/2022 12:00:00 AM,In Process,Special Event,Commercial,,SIFF 2022 Opening Night Gala,S22AP027,04/14/2022 12:00:00 AM,04/14/2022 12:00:00 AM,,First Hill,7,West,SIFF,2050
12/30/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Tenacious Ten,S22AP021,04/09/2022 12:00:00 AM,04/09/2022 12:00:00 AM,Gas Works Park,"Cascade / Eastlake / South Lake Union, Fremont, Montlake / Portage Bay, Queen Anne, Wallingford","3, 4, 7","East, North, Traffic, West",Snohomish Running Company,3100
01/06/2022 12:00:00 AM,In Process,Special Event,Commercial,,April Night Market,S22AP024,04/08/2022 12:00:00 AM,04/09/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
12/16/2022 12:00:00 AM,In Process,Special Event,Commercial,,Big Climb,S22MR018,03/27/2022 12:00:00 AM,03/27/2022 12:00:00 AM,,Downtown,7,West,Leukemia & Lymphoma Society,2900
12/09/2021 12:00:00 AM,In Process,Special Event,Community,,Magnolia Little League Season Kickoff Parade,S22MR010,03/26/2022 12:00:00 AM,03/26/2022 12:00:00 AM,OTHER,Magnolia,7,"Traffic, West",Magnolia Little League,1600
01/06/2022 12:00:00 AM,In Process,Special Event,Commercial,,March Night Market,S22MR023,03/18/2022 12:00:00 AM,03/19/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
12/13/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,St. Patrick's Day Dash,S22MR013,03/13/2022 12:00:00 AM,03/13/2022 12:00:00 AM,,Queen Anne,7,"Traffic, West",Fizz Events,4000
12/16/2021 12:00:00 AM,In Process,Special Event,Commercial,,LLS Firefighter Stairclimb,S22MR017,03/13/2022 12:00:00 AM,03/13/2022 12:00:00 AM,,Downtown,7,West,Leukemia & Lymphoma Society,2500
12/13/2021 12:00:00 AM,In Process,Special Event,Community,,St. Patrick's Day Parade,S22MR012,03/12/2022 12:00:00 AM,03/12/2022 12:00:00 AM,,Downtown,7,"Operations, Traffic, West",Irish Heritage Club,4600
12/13/2021 12:00:00 AM,In Process,Special Event,Community,,Green Stripe,S22MR011,03/11/2022 12:00:00 AM,03/11/2022 12:00:00 AM,,Downtown,7,"Traffic, West",Irish Heritage Club,100
12/21/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,Hot Chocolate 15K/5K Seattle,S22MR019,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,,"Fremont, Green Lake, Greenwood / Phinney Ridge, Queen Anne, Wallingford","4, 6, 7","North, Traffic, West",Ventures Endurance,13200
11/03/2021 12:00:00 AM,In Process,Special Event,Athletic,Water,Polar Plunge Seattle,S22FE005,02/26/2022 12:00:00 AM,02/26/2022 12:00:00 AM,Alki Beach,Alki / Admiral,1,"Harbor, Southwest",Special Olympics Washington,575
10/11/2021 12:00:00 AM,In Process,Special Event,Athletic,Run/Walk,My Better Half Marathon,S22FE004,02/13/2022 12:00:00 AM,02/13/2022 12:00:00 AM,Seward Park,Seward Park,2,South,Orca Running,820
01/03/2022 12:00:00 AM,In Process,Special Event,Free Speech,,Walk to Harbor Memorial,S22FE020,02/12/2022 12:00:00 AM,02/12/2022 12:00:00 AM,Hing Hay Park,"Downtown, International District",7,"Traffic, West",United Chinese Americans of WA,370
01/06/2022 12:00:00 AM,In Process,Special Event,Commercial,,February Night Market,S22FE022,02/11/2022 12:00:00 AM,02/12/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
10/13/2021 12:00:00 AM,Cancelled,Special Event,Athletic,Run/Walk,Resolution Run and Polar Bear Dive,S22JA001,01/01/2022 12:00:00 AM,01/01/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Club Northwest,1500
09/30/2021 12:00:00 AM,Complete,Special Event,Community,,New Year's At The Needle,S21DE112,12/31/2021 12:00:00 AM,12/31/2021 12:00:00 AM,Seattle Center,Queen Anne,7,"Traffic, West",The Workshop,25000
10/12/2021 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Tennis Club NYE,S21DE117,12/31/2021 12:00:00 AM,12/31/2021 12:00:00 AM,,Madison Park,3,"East, Harbor",Seattle Tennis Club,190
12/15/2021 12:00:00 AM,Issued,Valet Parking,,,Butler Valet - Private Wedding,S21DE137,12/31/2021 12:00:00 AM,12/31/2021 12:00:00 AM,,Belltown,7,West,Butler Seattle,150
12/09/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,#NOMORE Ethiopian Protest,S21DE136,12/21/2021 12:00:00 AM,12/21/2021 12:00:00 AM,,"Downtown, Queen Anne",7,West,Concerned Ethiopian Americans and Friends,15000
10/22/2021 12:00:00 AM,Complete,Special Event,Community,,December Night Market,S21DE123,12/17/2021 12:00:00 AM,12/18/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,6480
12/09/2021 12:00:00 AM,Issued,Valet Parking,,,Butler Valet - Compass Holiday Party,S21DE135,12/15/2021 12:00:00 AM,12/15/2021 12:00:00 AM,,Greenwood / Phinney Ridge,6,North,Butler Seattle,510
05/21/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Jingle Bell Run,S21DE022,12/12/2021 12:00:00 AM,12/12/2021 12:00:00 AM,Green Lake Park,Green Lake,6,North,Arthritis Foundation,300
11/01/2021 12:00:00 AM,Complete,Special Event,Community,,Equinox Studios Very Open House,S21DE126,12/11/2021 12:00:00 AM,12/11/2021 12:00:00 AM,,Georgetown,2,South,Equinox Studios,2150
12/06/2021 12:00:00 AM,Issued,Valet Parking,,,Butler Valet - Arctic Storm Holiday Party,S21DE134,12/11/2021 12:00:00 AM,12/11/2021 12:00:00 AM,,Ballard,6,North,Butler Seattle,50
10/19/2021 12:00:00 AM,Complete,Special Event,Community,,South Lake Union Winter Market,S21DE120,12/08/2021 12:00:00 AM,12/09/2021 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Urban Craft Uprising,1570
11/09/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,Caravan in support for Leni Robredo's Presidential Candidacy,S21DE130,12/04/2021 12:00:00 AM,12/04/2021 12:00:00 AM,,"Cascade / Eastlake / South Lake Union, Columbia City, First Hill, International District, Judkins Park, North Beacon Hill / Jefferson Park, Queen Anne","2, 3, 7","East, South, Traffic, West",Bicol Association of Washington,25
07/30/2021 12:00:00 AM,Complete,Special Event,Free Speech,,"Our Lady of Guadalupe, Mother of the Americas Celebration",S21DE084,12/04/2021 12:00:00 AM,12/04/2021 12:00:00 AM,,"First Hill, Judkins Park",3,East,Corporation of the Catholic Archbishop of Seattle,960
11/05/2021 12:00:00 AM,Cancelled,Special Event,Community,,Meadowbrook Pond Luminaria Walk,S21DE127,12/04/2021 12:00:00 AM,12/04/2021 12:00:00 AM,,Cedar Park / Meadowbrook,5,North,Anne Girvin,275
11/05/2021 12:00:00 AM,Complete,Special Event,Community,,West Seattle Night Market and Tree Lighting,S21DE128,12/04/2021 12:00:00 AM,12/04/2021 12:00:00 AM,OTHER,West Seattle Junction / Genesee Hill,1,Southwest,West Seattle Junction Association,815
11/22/2021 12:00:00 AM,Issued,Valet Parking,,,Red Carpet Valet - The Extra Ingredient,S21DE133,12/04/2021 12:00:00 AM,12/04/2021 12:00:00 AM,,Montlake / Portage Bay,4,East,Red Carpet Valet,100
10/14/2021 12:00:00 AM,Complete,Special Event,Commercial,,Winter Beer Festival,S21DE118,12/03/2021 12:00:00 AM,12/04/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Washington Beer Winter Beer Festival,2625
10/21/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Emerald City Comic Con (ECCC),S21DE122,12/02/2021 12:00:00 AM,12/05/2021 12:00:00 AM,,Downtown,7,West,Washington State Convention Center,72000
06/16/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Amica Insurance Seattle Marathon,S21NO039,11/28/2021 12:00:00 AM,11/28/2021 12:00:00 AM,Multiple Parks,"Cedar Park / Meadowbrook, Fremont, Laurelhurst / Sand Point, University District, Wallingford, Wedgwood / View Ridge","4, 5, 6","North, Traffic",Seattle Marathon Association,5000
10/11/2021 12:00:00 AM,Complete,Special Event,Free Speech,,Menorah Lighting Celebration,S21NO116,11/28/2021 12:00:00 AM,11/28/2021 12:00:00 AM,,Queen Anne,3,West,Chabad of Queen Anne,55
11/19/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Seattle Kids Marathon,S21NO132,11/27/2021 12:00:00 AM,11/27/2021 12:00:00 AM,Gas Works Park,Fremont,6,"North, Traffic",Seattle Marathon Association,380
11/02/2021 12:00:00 AM,Complete,Special Event,Community,,Holiday Happy Time!,S21NO129,11/27/2021 12:00:00 AM,12/18/2021 12:00:00 AM,Westlake Park,Downtown,7,West,Downtown Seattle Association,888
09/23/2021 12:00:00 AM,Complete,Special Event,Community,,Downtown Seattle Holiday Tree Lighting,S21NO110,11/26/2021 12:00:00 AM,11/26/2021 12:00:00 AM,Westlake Park,Downtown,7,West,Downtown Seattle Association,5532
11/17/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,#nowar,S21NO131,11/21/2021 12:00:00 AM,11/21/2021 12:00:00 AM,OTHER,"Central Area / Squire Park, Downtown, International District, Judkins Park, Madrona / Leschi, Pioneer Square","2, 3, 7","East, West",Concerned Ethiopian Americans and Friends,1000
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (11.12),S21NO090,11/12/2021 12:00:00 AM,11/12/2021 12:00:00 AM,,University District,4,North,Husky Athletic Bands,1010
10/19/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Seattle International Auto Show [Street Use],S21NO124,11/11/2021 12:00:00 AM,11/14/2021 12:00:00 AM,,Duwamish / SODO,2,West,Washington State Auto Dealers Association,
09/20/2021 12:00:00 AM,Complete,Special Event,Athletic,Water,Head of the Lake,S21NO108,11/07/2021 12:00:00 AM,11/07/2021 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,"Harbor, West",Lake Washington Rowing Club,2300
11/04/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,Free speech protest in front of Eritrean community,S21NO125,11/06/2021 12:00:00 AM,11/06/2021 12:00:00 AM,,North Beacon Hill / Jefferson Park,3,South,"ERITREANS FOR UNITY, SALVATION AND JUSTICE",
10/20/2021 12:00:00 AM,Complete,Special Event,Commercial,,November Night Market,S21NO121,11/06/2021 12:00:00 AM,11/06/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,5095
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (11.5),S21NO089,11/05/2021 12:00:00 AM,11/05/2021 12:00:00 AM,,University District,4,North,Husky Athletic Bands,1010
07/19/2021 12:00:00 AM,On Hold,Special Event,Community,,Sounders FC March to the Match (11.1),S21OC071,11/01/2021 12:00:00 AM,11/01/2021 12:00:00 AM,Occidental Park,"Duwamish / SODO, Pioneer Square",7,West,Seattle Sounders FC,500
08/23/2021 12:00:00 AM,Cancelled,Special Event,Community,,Trolloween 2021,S21OC097,10/31/2021 12:00:00 AM,10/31/2021 12:00:00 AM,,Fremont,6,North,Fremont Arts Council,360
08/13/2021 12:00:00 AM,Cancelled,Special Event,Community,,Magnolia Village Halloween Trick or Treat,S21OC092,10/29/2021 12:00:00 AM,10/29/2021 12:00:00 AM,,Magnolia,7,West,Magnolia Chamber of Commerce,950
10/19/2021 12:00:00 AM,Issued,Valet Parking,,,Red Carpet Valet - Monogram Appliances,S21OC119,10/28/2021 12:00:00 AM,10/28/2021 12:00:00 AM,,Duwamish / SODO,2,South,Red Carpet Valet,100
07/19/2021 12:00:00 AM,On Hold,Special Event,Community,,Sounders FC March to the Match (10.23),S21OC070,10/23/2021 12:00:00 AM,10/23/2021 12:00:00 AM,Occidental Park,"Duwamish / SODO, Pioneer Square",7,West,Seattle Sounders FC,500
10/14/2021 12:00:00 AM,Issued,Valet Parking,,,Red Carpet Valet - Seattle Opera (10.23),S21OC115,10/23/2021 12:00:00 AM,10/23/2021 12:00:00 AM,Seattle Center,Queen Anne,7,West,Red Carpet Valet,80
10/08/2021 12:00:00 AM,Complete,Special Event,Free Speech,,2040 is Too Late,S21OC113,10/22/2021 12:00:00 AM,10/22/2021 12:00:00 AM,Seattle Center,Queen Anne,7,West,Stand.earth,35
07/12/2021 12:00:00 AM,Cancelled,Special Event,Community,,Seattle Greek Festival,S21OC072,10/22/2021 12:00:00 AM,10/24/2021 12:00:00 AM,,Montlake / Portage Bay,3,East,St. Demetrios Greek Orthodox Church,4500
06/14/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,I Can and I Will Run,S21OC036,10/17/2021 12:00:00 AM,10/17/2021 12:00:00 AM,Multiple Parks,Green Lake,6,North,I Can and I Will Guild,1000
07/14/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Making Strides Against Breast Cancer of Seattle,S21OC073,10/16/2021 12:00:00 AM,10/16/2021 12:00:00 AM,Gas Works Park,Fremont,4,North,American Cancer Society,1750
06/30/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Ryther Marathon to Hope,S21OC046,10/16/2021 12:00:00 AM,10/16/2021 12:00:00 AM,Green Lake Park,Green Lake,6,North,Ryther League,1040
09/01/2021 12:00:00 AM,Complete,Special Event,Commercial,,October Night Market,S21OC100,10/16/2021 12:00:00 AM,10/16/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,5095
09/13/2021 12:00:00 AM,Cancelled,Special Event,Athletic,,Washington VisionWalk,S21OC105,10/16/2021 12:00:00 AM,10/16/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Foundation Fighting Blindness,450
10/12/2021 12:00:00 AM,Issued,Valet Parking,,,Red Carpet Valet - Seattle Opera,S21OC114,10/16/2021 12:00:00 AM,10/16/2021 12:00:00 AM,Seattle Center,Queen Anne,7,West,Red Carpet Valet,100
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (10.15),S21OC088,10/15/2021 12:00:00 AM,10/15/2021 12:00:00 AM,,University District,4,North,Husky Athletic Bands,1010
08/03/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,Indigenous Peoples' Day Celebration March,S21OC083,10/11/2021 12:00:00 AM,10/11/2021 12:00:00 AM,Westlake Park,Downtown,7,West,Canoes Affinity Group,240
09/08/2021 12:00:00 AM,Complete,Special Event,Free Speech,,Save St Mary's Parish,S21OC103,10/10/2021 12:00:00 AM,10/10/2021 12:00:00 AM,,First Hill,3,East,St. Mary's Vigil Committee,305
09/13/2021 12:00:00 AM,Complete,Special Event,Community,,Republic of China (Taiwan) Double Tenth Flag Raising and Parade,S21OC104,10/10/2021 12:00:00 AM,10/10/2021 12:00:00 AM,Hing Hay Park,International District,2,West,Chong Wa Benevolent Association,360
08/17/2021 12:00:00 AM,Complete,Special Event,Athletic,,UW Dawg Dash,S21OC106,10/10/2021 12:00:00 AM,10/10/2021 12:00:00 AM,,University District,4,"North, Traffic",University of Washington Alumni Association,3400
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,All Together Now,S21OC091,10/09/2021 12:00:00 AM,10/09/2021 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,Seattle Pride,7605
07/29/2021 12:00:00 AM,Complete,Special Event,Commercial,,Seattle Fresh Hop Beer Festival,S21OC078,10/09/2021 12:00:00 AM,10/09/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Chump Change Foundation,1300
09/15/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Water Lantern Festival Seattle,S21OC107,10/09/2021 12:00:00 AM,10/09/2021 12:00:00 AM,Green Lake Park,Green Lake,6,North,Water Lantern Festival,5500
09/03/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Fremont Players Present Panto at the Troll,S21OC101,10/09/2021 12:00:00 AM,10/10/2021 12:00:00 AM,,Fremont,6,North,Fremonstor Theatrical,290
07/08/2021 12:00:00 AM,Cancelled,Special Event,Community,,"BOREALIS, A Festival of Light",S21OC062,10/06/2021 12:00:00 AM,10/11/2021 12:00:00 AM,Lake Union Park,Cascade / Eastlake / South Lake Union,3,West,Modern Enterprises LLC/Sea-King Media Group,150000
07/14/2021 12:00:00 AM,Complete,Special Event,Athletic,Water,Tail of the Lake Regatta,S21OC074,10/03/2021 12:00:00 AM,10/03/2021 12:00:00 AM,Gas Works Park,"Cascade / Eastlake / South Lake Union, Fremont","3, 4","Harbor, North",Holy Names Academy,1120
07/19/2021 12:00:00 AM,On Hold,Special Event,Community,,Sounders FC March to the Match (10.3),S21OC069,10/03/2021 12:00:00 AM,10/03/2021 12:00:00 AM,Occidental Park,"Duwamish / SODO, Pioneer Square",7,West,Seattle Sounders FC,500
09/07/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,March for Reproductive Freedom,S21OC102,10/02/2021 12:00:00 AM,10/02/2021 12:00:00 AM,Cal Anderson Park,"Capitol Hill, Downtown","3, 7","East, Traffic, West",Women's March,520
09/22/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,Rally for Abortion Justice,S21OC109,10/02/2021 12:00:00 AM,10/02/2021 12:00:00 AM,Westlake Park,Downtown,7,West,Womxn's March,265
07/02/2021 12:00:00 AM,Complete,Special Event,Community,,U District Station Opening Festival,S21OC061,10/02/2021 12:00:00 AM,10/02/2021 12:00:00 AM,,University District,4,North,U District Partnership,10000
09/27/2021 12:00:00 AM,Complete,Special Event,Free Speech,,Every Child Matters March,S21SE111,09/30/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Occidental Park,"Downtown, First Hill, Pioneer Square","3, 7","East, Traffic, West",Mopistun Four Directions,100
06/17/2021 12:00:00 AM,Complete,Special Event,Community,,C-ID Night Market,S21SE040,09/25/2021 12:00:00 AM,09/25/2021 12:00:00 AM,Hing Hay Park,International District,2,West,CIDBIA,1350
06/10/2021 12:00:00 AM,Complete,Special Event,Commercial,,The Great Pumpkin Weigh Off,S21SE033,09/25/2021 12:00:00 AM,09/25/2021 12:00:00 AM,,"Beacon Hill, Georgetown",2,South,Elysian Brewing Co,335
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (9.24),S21SE087,09/24/2021 12:00:00 AM,09/24/2021 12:00:00 AM,,University District,4,North,Husky Athletic Bands,1010
07/08/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,September Night Market,S21SE059,09/24/2021 12:00:00 AM,09/25/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,10240
06/28/2021 12:00:00 AM,Complete,Special Event,Commercial,,Georgetown Morgue Haunted House,S21SE045,09/24/2021 12:00:00 AM,11/06/2021 12:00:00 AM,,"Duwamish / SODO, Georgetown",2,South,"Seattlehaunts, LLC",613
07/14/2021 12:00:00 AM,Cancelled,Special Event,Community,,Doggie Days 2021,S21SE058,09/22/2021 12:00:00 AM,09/22/2021 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Amazon Global Real Estate and Facilities,260
07/08/2021 12:00:00 AM,Complete,Special Event,Community,,University of Washington Academic Year Student Move-in,S21SE057,09/21/2021 12:00:00 AM,09/24/2021 12:00:00 AM,,University District,4,North,"University of Washington, Housing & Food Services",6560
07/15/2021 12:00:00 AM,Complete,Special Event,Community,,Belltown Rock the Block,S21SE056,09/18/2021 12:00:00 AM,09/18/2021 12:00:00 AM,Bell Street Park,Belltown,7,West,Belltown United,855
08/31/2021 12:00:00 AM,Issued,Special Event,Community,,Celebrate Black Lives Matter,S21SE099,09/18/2021 12:00:00 AM,09/18/2021 12:00:00 AM,,Downtown,7,West,City of Seattle - Office of the Mayor,225
06/15/2021 12:00:00 AM,Complete,Special Event,Community,,HONK! Fest West,S21SE038,09/18/2021 12:00:00 AM,09/18/2021 12:00:00 AM,OTHER,Columbia City,2,South,HONK! Fest West,750
08/30/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Ballard Oktoberfest,S21SE098,09/18/2021 12:00:00 AM,09/18/2021 12:00:00 AM,,Ballard,6,North,Reuben's Brews,510
03/25/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,The Orca Half Marathon,S21SE010,09/18/2021 12:00:00 AM,09/19/2021 12:00:00 AM,Lincoln Park,"Alki / Admiral, Fauntleroy / Seaview",1,Southwest,Orca Running,1700
06/09/2021 12:00:00 AM,Complete,Special Event,Commercial,,Homecoming Performing Arts Festival,S21SE031,09/18/2021 12:00:00 AM,09/19/2021 12:00:00 AM,,Capitol Hill,3,East,Intiman Theatre,500
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (9.17),S21SE086,09/17/2021 12:00:00 AM,09/17/2021 12:00:00 AM,,University District,4,North,Husky Athletic Bands,1010
06/14/2021 12:00:00 AM,Complete,Special Event,Commercial,,Fremont Oktoberfest,S21SE037,09/17/2021 12:00:00 AM,09/19/2021 12:00:00 AM,,Fremont,6,"North, Operations",Bold Hat Productions,17450
08/17/2021 12:00:00 AM,Complete,Special Event,Community,,Beers & Bites September,S21SE096,09/16/2021 12:00:00 AM,09/18/2021 12:00:00 AM,Occidental Park,Pioneer Square,7,West,Downtown Seattle Association,960
06/07/2021 12:00:00 AM,Complete,Special Event,Commercial,,Boats Afloat Show,S21SE026,09/16/2021 12:00:00 AM,09/19/2021 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3,West,Northwest Yacht Brokers Association,5680
07/19/2021 12:00:00 AM,On Hold,Special Event,Community,,Sounders FC March to the Match (9.15),S21SE068,09/15/2021 12:00:00 AM,09/15/2021 12:00:00 AM,Occidental Park,"Duwamish / SODO, Pioneer Square",7,West,Seattle Sounders FC,500
06/04/2021 12:00:00 AM,Complete,Special Event,Commercial,,RailSpur Alley Grand Opening,S21AU028,09/15/2021 12:00:00 AM,09/15/2021 12:00:00 AM,,"Duwamish / SODO, Pioneer Square",2,West,419 Occidental LLC,315
07/09/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,"""March to the Game"" for Recovery Day at the Mariners",S21SE054,09/12/2021 12:00:00 AM,09/12/2021 12:00:00 AM,,Pioneer Square,7,West,Washington Recovery Alliance,200
08/20/2021 12:00:00 AM,Cancelled,Special Event,Free Speech,,A Walk for Herbert,S21AU094,09/12/2021 12:00:00 AM,09/12/2021 12:00:00 AM,,"Haller Lake, Northgate / Maple Leaf",5,"North, Traffic",Castill Hightower,100
06/25/2021 12:00:00 AM,Complete,Special Event,Athletic,Water,Swim Across America - Seattle,S21SE043,09/11/2021 12:00:00 AM,09/11/2021 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,"Harbor, North",Swim Across America - Seattle,1200
06/11/2021 12:00:00 AM,Complete,Special Event,Community,,NEST 10th Anniversary Celebration,S21SE035,09/11/2021 12:00:00 AM,09/11/2021 12:00:00 AM,,Wedgwood / View Ridge,4,North,"NEST, Northeast Seattle Together",520
07/19/2021 12:00:00 AM,On Hold,Special Event,Community,,Sounders FC March to the Match (9.11),S21SE067,09/11/2021 12:00:00 AM,09/11/2021 12:00:00 AM,Occidental Park,"Duwamish / SODO, Pioneer Square",7,West,Seattle Sounders FC,500
04/27/2021 12:00:00 AM,Complete,Special Event,Community,,Queen Anne Days Festival,S21SE011,09/10/2021 12:00:00 AM,09/11/2021 12:00:00 AM,,Queen Anne,7,West,Queen Anne Chamber,633
07/19/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Cider Summit Seattle,S21SE053,09/10/2021 12:00:00 AM,09/11/2021 12:00:00 AM,Lake Union Park,Cascade / Eastlake / South Lake Union,3,West,"Specialty Beer Services, Inc.",2800
06/10/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,SeafoodFest Presents,S21SE032,09/10/2021 12:00:00 AM,09/12/2021 12:00:00 AM,,Ballard,6,North,Ballard Alliance,13878
07/30/2021 12:00:00 AM,Cancelled,Special Event,Community,,Creative Justice Block Party,S21SE080,09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,,First Hill,3,East,Creative Justice,330
08/17/2021 12:00:00 AM,Complete,Special Event,Community,,ENAT Inc. Empowering Ethiopian Women,S21SE095,09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,Seward Park,Seward Park,2,South,ENAT Inc.,800
